Başlık,Şikayet
"İade Talebim Haksız Yere Reddedildi, Trendyol Alıcıyı Korumadı","Trendyol üzerinden “thebeautystore” isimli satıcıdan bir ürün sipariş ettim.
Ürün elime ulaştıktan sonra hiç açmadan, kargo paketine bile dokunmadan, 1 gün sonra 14 günlük cayma hakkımı kullanarak iade sürecini başlattım.
Ancak satıcı, ürünü kullanmış olduğumu iddia ederek iade talebimi reddetti ve ürünü bana geri gönderdi.
Elimde ürünün açılmadığına ve yasal süre içerisinde iade ettiğime dair kamera kayıtları mevcut olmasına rağmen, Trendyol bu süreçte tamamen satıcının tarafını tutmuştur.
Canlı destek biriminden yeterli dönüş alamadım, ayrıca mağduriyetimin çözülmesine dair hiçbir aksiyon alınmadı."
"Siparişim Kargoda Bekliyor, Müşteri Hizmeti Yanıt Vermiyor","Trendyol'dan Relax Bluetooth uzaktan kumandalı portatif yürüme ve koşu bandı sipariş verdim. 07.07.2025 tarihinde sipariş verdim fakat 8 gün geçti, ürün elime ulaşmadı. Gaziantep Sürat Kargo aktarma merkezinde ürün bir haftadır bekliyor. Arıyorum, kimse açmıyor. Bu kadar sorumsuzluk gerçekten çok fazla."
"Sipariş Teslim Edilmeden İptal Edildi, Fiyat Artışıyla Karşılaştım","Trendyol'dan aldığım 4.500 TL'lik bir ürün, daha tarafıma teslim edilmeden siparişim iptal edildi. Sonrasında aynı ürünü tekrar almak istediğimde fiyatının 7.500 TL olduğunu gördüm. Kargoda hasar gördüğü gerekçesiyle teslim edilmeden iade edildiği söylendi. Bu durumu mantıksız buluyorum. Belli ki ürünün fiyatı yanlış girilmiş ve uygun fiyata satıldığı için gönderilmek istenmemiş. Trendyol'dan ve satıcısı olan Lapiri mağazasından şikayetçiyim."
Aldığım Tohumlar Beklediğim Gibi Çıkmadı,"Bize tohum diye taş göndermişler, böyle bir durum olamaz. Sarı karpuz diye karpuzun çekirdeğini boyayıp göndermişler. Ben bu şekilde tohum ilk defa görüyorum. Biraz insaf, sarı karpuz dediniz aldık, orkide dediniz aldık. Biz de köylü çocuğuyuz, az çok tohumun nasıl olması gerektiğini biliyoruz."
"Eksik Ve Hasarlı Ürün, Müşteri Hizmetleri İlgisiz Kaldı","Sipariş No 10345672933 (Sgs 2950 Elektrik İzolasyon Bandı 80°c Dayanıklı ( Siyah ) (5 Adet ). Bir adet geldi.). (Yanmaz Soba Bandı Folyo Bant 10 Mt) 2 metrelik ve yırtık geldi) eym E-STORE satıcısı tarafından maalesef çarpıldık. Yorum yazdım. Bir kısmını Trendyol yayınlanmadı, Trendyol ilgilenmedi bile. İade için uğraşamayacağımdan para kara paraya gelir olacak. Helal etmiyorum. Allah büyüktür. Çıkar merak etmeyin. Bunun ismi resmen h... R... S. Lik"
"Siparişim Teslim Edilmedi, Satıcı Sürekli Oyalıyor","Ben Trendyol'dan BTI Store adlı satıcıdan 10.07.2025 tarihinde 2800 TL tutarında kedi maması sipariş ettim. Ayın 12'sinde teslim edileceği yazıyordu. Ürünüm gelmedi, satıcı kargonun patladığını ve tekrar kargoya verileceğini söyledi ama bugün halen kargoya verilmemiş. Sürekli oyalıyorlar. Kargoda göründüğü için iptal de edemiyorum. Çok mağdur oldum. Yardımcı olur musunuz?"
Montaj Hizmeti Alınmadan Ücret İadesi Yapılmıyor,Trendyol'dan TV ünitesi aldım montaj için de bin küsur para ödedim. Siparişi iş yerine verdim. Tek yaşadığım için bu yüzden montaj ekibi aynı mahalledeki evime gelip kurulum yapamayacaklarını söyledi. Tamam dedim kendim kurdum TV ünitesini montaj ücretinin iadesini istiyorum. Sürekli bir erteleme maille geri döneceğiz falan yatırın abi almadığım hizmetin parasını neden ödüyorum
Trendyol Plus Aboneliği Ve Müşteri Hizmetleri Deneyimimde Yaşanan Sorunlar,"Trendyol online mağazasında gördüğüm Trendyol Plus aboneliğini satın aldım. Aboneliğin içerisinde Youtube.com Premium, Tod vb. 3 ay ücretsiz kampanya vardı. Tüm adımları gerçekleştirdim ancak verilen kodu hiçbir platform kabul etmedi. Yoğun uğraşlar sonucu Trendyol müşteri hizmetlerine bağlandım. Abonelikten dolayı öncelikli müşteri olmam gerekirken, müşteri hizmetlerine ulaşmak oldukça zordu. Bağlandığımda sorunu anlattım ve birlikte yönlendirme yapmalarını, işlemleri tekrar denememizi istedim. Ancak A*** isimli bir danışman, ukalaca konuşarak 'Sonra arayın, yapacak bir şey yok.' dedi ve telefonu kapattı. Trendyol’dan ne zaman alışveriş yapsam sorun yaşıyorum. Aldıkları ücret önemli değil, ancak bu kadar küçük bir firmada muhatap bulmak ve teknik destek almak çok zor. Yurt dışı sitelerinden bile sıkça alışveriş yapıyorum ama yerli firmamızda bu tür sorunlar yaşanıyor. Yerli olarak Hepsiburada gibi bir site varken Trendyol’u tekrar denemek istedim ama yine olumsuz bir deneyim yaşadım. Bu, son Trendyol alışverişim oldu. Çevremdeki insanlara da benzer konularda uyarılarda bulunacağım. Saygısız ve işini bilmeyen kişilerle ticaret yapmak istemiyorum."
"İade Talebim Reddedildi, Müşteri Hizmeti Sıfır","Trendyol üzerinden aldığım çoraplar çok kalitesiz çıktı ben üreticiye sordum gönder iade alacağız dedi. Gönderdim iade kabul etmiyorlar. Şaka gibi kendileri gönder dedi. Üreticiye ulaştım telefonda kızıyor böyle insanın yüzüne kapatıyor telefonu.
Trendyol bu konuda bana hiç yardımcı olmadı. Ayda binlerce Kiralık alışveriş yaptığım Trendyol plas üyeyim ayrıca. Trendyol onca güvenip alışveriş yaptığımız yer ise üyeliğimi iptal edip diğer platformlardan alışveriş yapacağım yazıklar olsun hizmet verme şekliniz kaliteniz bu mudur?
Kendileri iade gönderin sesi ekran görüntüsü var orada haberleri var ve geri gönderin iade alacağız. Demelerine rağmen geri iade almadılar."
"Yanıltıcı Ürün Ve Müşteri Mağduriyetiyle Karşılaştım, Haklarımı Arayacağım","Trendyol üzerinden portatif iskele dolap sipariş ettim. Kaliteli olması için 5600 TL ücret ödedim. Karşılığında 1000 TL'ye piyasada satılan ürünlerden gönderdiler. 3 km ilerideki Aras Kargo ya teslim etmem için kod verdiler. Cebimden ambalaj parası verdim, işin gücün Arasında paketlemeyle uğraştım, yaz sıcağında üzerimde kilolarca yükle 2 km yol yürüdüm. Taksiler ebattan dolayı almadılar. Elim ve belim ağrıdı. Kargo ise resmi tatilden dolayı kapatmış. Diğer zaman için yakın bir kargo talep ettim. Trendyol ürünün emniyeti açısından bu firma ile gönderebilirsiniz dedi. Yani "" benim harcadığım zamanın, paranın ve taşıdığım ağırlığın bir önemi yok. Şimdi hastaneye gidip raporla oluşan ağrı ve sakatlığı belgeleyeceğim. Haftaya da buna istinaden tazminat talebiyle mahkemeye gideceğim. Müşteriyi yanıltıcı tutumu nedeniyle Trendyol ve satıcı firma hakkında şikayette bulunacağım. Bilginize."
Sipariş Verdiğim Halde Trendyol Hesabımda Görünmüyor,"Trendyol'dan sipariş verdim. Para çekildi, dekontum da var ama siparişim 'Siparişler' kısmında görünmüyor, 5 gün oldu. Kargo mesajı dahi gelmedi, lütfen açıklama bekliyorum. Alışverişlerimi hep Trendyol'dan yapıyorum, ilk defa böyle bir durumla karşılaştım. Çok şaşkınım, mağduriyetimin giderilmesini talep ediyorum."
Stokta Olmayan Ürünün Satışı Ve Yetersiz Müşteri Desteği,"Trendyol Sitesinden, 10.07.2025 tarihinde, Grundig Marka Saç Kurutma Makinesi sipariş verdim. Gönderici, ürünün üreticisi Grundig Firmasıdır. 14.07.2025 tarihinde, gönderici Firmaya, ürünün ne zaman Kargo'ya verileceğini sordum, ancak cevap alamadım. Trendyol Sitesinde, şu anda, bu ürünün yine aynı göndericinin stoklarında olmadığı gözüküyor. Tahminimce stokta olmayan ürünü sattılar, şimdi temin edemiyorlar. Koskoca Koç Grubu Firması olan Grundig, nasıl bir stok takibi sistemine sahip, çok merak ediyorum. Üretimi yapan Firma, ne yapıp eder müşterisini mağdur etmemek için ürünü bir şekilde temin eder. Trendyol Firmasının da, konuya yaklaşımı, daha aktif ve tüketiciyi koruyan bir yaklaşımda olmalıydı."
Kedi Maması Siparişimde Sahte Ürün Şüphesi,"Satıcı Petbeen'den 03.07.2025 tarihinde Pro Plan kısır somonlu kedi maması siparişi verdim. 2 adet ürün teslim edildi. Teslimat numaraları: 9563159782 ve 9563154163. Firma bize sahte ürün göndermiş olabilir. Ambalajı parlak ve kaygan, içindeki ürünler ise standart boyda değil; irili ufaklı ve rengi koyu. Trendyol olarak gereğinin yapılmasını rica ediyorum."
"Ürün İptali Yapılamıyor, Destek Alınamıyor","Trendyol'dan aldığım ürünü iptal etmek istedim. Anında işlem yapmama rağmen 'İptal edilemedi' hatası alıyorum ve hâlâ üstüne çok geçmedi. Aynı anda iptali sağladım, 1 dakika bile olmadı. Ürünü iptal etmek istiyorum, firmaya yazdım. Yanıt dönen de olmadı. Acil."
Trendyol H&M'den Aldığım Şortta Sorun Ve Geciken İnceleme Süreci,"Trendyol H&M mağazasından satın aldığım keten şort, ilk kullanımda tüylendi ve ağ kısmı inceldi. Bu nedenle ürünü incelemeye gönderdim. Trendyol, inceleme süresini maksimum 24 gün olarak belirtmesine rağmen bugün 24. gün ve hâlâ herhangi bir geri dönüş yapılmadı. Sadece 'en kısa sürede' diyerek geçiştirmeye çalışıyorlar. Kendi mağazasından alsaydım böyle bir sorun yaşamazdım. Maalesef tüketici haklarında iki firma için de ayrı ayrı şikayette bulunacağım."
Kargo Şirketinin Hizmet Anlayışı Hayal Kırıklığı Yarattı,"Trendyol üzerinden aldığım ürün sayesinde bu hizmet anlayışı sıfır olan kolay gelsin adındaki kargo şirketini maalesef tanıdım. 1 haftadır ürün dağıtımda görünüyor, kaç kere WhatsApp'tan ve müşteri hizmetlerinden talep oluşturdum ona rağmen gerekçe belirtmeden siparişimi iptal etmişlerdir. Pardon da bu nasıl bir hizmet? Siz bu işi yapamıyor musunuz?"
Bisiklet Yerine Temizlik Bezi Gönderildi Mağduriyetim Giderilmiyor,Trendyol üzerinden hediye olarak aldığım 9567188163 teslimat numaralı bisiklet yerine satıcı tarafından temizlik bezi gönderildi. Trendyol'a defalarca hem telefonla hem de uygulama üzerinden bildirimde bulundum. 10 gündür herhangi bir cevap alamıyorum. Sürekli en kısa sürede inceleyip dönüş yapacaklarını söylüyorlar. Ücretini ödediğim ve kullanamadığım ürün için yardımcı olmuyorlar.
"Siparişim Gönderilmiyor, Müşteri Hizmetleri Çözüm Sunmuyor","Sipariş verdiğim ürünü satıcı göndermiyor. Trendyol müşteri hizmetlerinden şikayet oluşturmak istiyorum fakat müşteri temsilcisi, 'Şikayet oluşturamıyoruz, ekiplerimiz satıcı ile iletişimde' diyerek herhangi bir işlem yapmıyor. 10 gün geçti, hâlâ bir sonuç yok. Satıcı ürünü göndermek istemiyor, bunun bir yaptırımı yok mu?"
Yanlış Ürün Gönderimi Ve Güven Kaybı: Trendyol'da Büyük Hayal Kırıklığı,Trendyol üzerinden indirimle aldığım Philips 5500 serisi lattego kahve makinası tarafıma kargolandı ve kargo firmasıyla görüştüğümde satıcının ürünün bana teslim edilmemesiyle ilgili taraflarına mail attığını ve kahve makinesi değil farklı bir ürün gönderdiğini söylediler. Ben de ürünü teslim almadım. Satıcıyı aradığımda hesabının ele geçirildiğini ürünün zaten ürünün kendinde olmadığını bana tekrar gönderemeyeceğini söyledi. Trendyol gibi bir mağazadan güvenerek yaptığım böyle bir alışveriş beni üzdü. Ve hakkımı aramak için Tüketici Mahkemesi'ne kadar olayı taşıyacağım. Yüksek meblağlı ürün alırken farklı firma tercih etmek sanırım daha doğru olacak artık. Bu olay güvenimi sarstı. Görsellerim ektedir.
Trendyol'dan Aldığım Ürünün Batarya Sorunu Ve Uzun İnceleme Süreci,"Trendyol üzerinden araba yıkamak için iki bataryalı Robo marka bir ürün aldım. Birkaç ay kullandıktan sonra bataryalar sadece üç dakika çalışmaya başladı. Bunun üzerine servisi aradım, Trendyol asistanının ilgileneceği söylendi. Konuştum, ürünü gönderdim ve ürün ellerine ulaştı. Üç iş günü içinde ürünü inceleyip iade alacaklarını belirttiler. Ancak on gündür iki bataryayı inceleyip ürünümü teslim edemediler. Sebebini sorduğumda incelemenin yirmi dört gün süreceğini söylediler. İki batarya üç dakika çalışıyor, toplamda altı dakika çalıştırılsa bozuk olduğu anlaşılır. Sanırım amaç müşteriye zorluk çıkarmak."
İade Sürecinin Uzaması Müşteri Memnuniyetini Zedeliyor,"Trendyol üzerinden Express Hırdavat'tan bir hidrofor aldım. Ürünün iade sürecini başlatalı 15 gün oldu. Hâlen ürün iade sürecinde inceleniyor olarak görünüyor. Trendyol, çalıştığı firmaları iyi denetlese böyle sıkıntılar yaşanmazdı, özellikle iade süreçlerinde."
"Kargom Kayboldu, Ücret İadesi Yapılmadı Ve Mağduriyetim Giderilmiyor","Dolapta satıcıyım. Bir gönderimin kargoda kaybolduğunu söylediler ne bir ücret iadesi ne de teslimat var. Şimdi de
133582914 numaralı gönderim de muhtemelen kayboldu ve 08.07 tarihinden beri Denizli transfer merkezinde bekliyor. Toplam 6 nin küsürlük mağduriyetimin giderilmesini bekliyorum. Kargonun kaybolduğuna ilk defa şahit oldum. Bir daha Trendyol expres firmasıyla çalışmayacağım."
Geç Teslimat Ve Fiyat Farkı Nedeniyle Parasal Mağduriyet,"Trendyol firmasından aldığım tırpan misina başlığı, bana zamanında teslim edilmedi. Antalya aktarmada günlerce bekletildi. Bilgim haricinde iade oluşturuldu.
Trendyol'u telefonla aradığımda, bu gecikmeden dolayı mağdur edildiğimi, bilgim haricinde kargomun geri iadeye alındığını, satın aldığım ürünün sitelerinde 258 TL'den 300 TL'ye satışta olduğunu ve parasal mağduriyetimin giderilmesi gerektiğini ilettiğimde, bana sadece ürünü kargoya veren firmanın kabul etmesi durumunda ödediğim 258 lira paranın iade edileceği söylendi. Fiyat farkının tarafıma ödenip ödenmeyeceğini sorduğumda ise böyle bir ödemelerinin olmadığını belirttiler.
Zamanında tarafıma ulaştırılmayan hatalı kargolama işleminden dolayı yaşadığım zaman kaybını bir tarafa bırakırsak, parasal olarak mağduriyetimin giderilmesini ve aynı ürünü alabilmem için gerekli farkın tarafıma ödenmesini gereği için arz ederim."
Üyeliksiz Siparişimde Takip Sorunu Ve Bilgilendirme Eksikliği,"Trendyol'da üye olmadan sipariş verdim. Ödemeyi yaptım ancak siparişimi takip edemiyorum. Siparişim henüz gelmedi, ilgilenirseniz sevinirim. Telefon numarası ve e-posta dahil tüm bilgileri girdim fakat, görselde attığım gibi, bundan başka bir bildirim almadım. Sizden ricam, sorunumun en kısa sürede çözülmesi."
Siparişimde Vaat Edilen Hediye Ürün Gönderilmedi,"Trendyol-Teknokulis N&S Store adlı mağazadan, ambalajında 'hediye parmaklık' olduğu belirtilen bir kulaklık siparişi verdim. Ancak siparişimde hediye parmaklık bulunmuyordu. Durumu mağazaya ilettiğimde, artık hediye göndermediklerini söylediler. Ambalajın üzerinde hediye parmaklık ön planda gösteriliyor olmasına rağmen, mesajlarıma olumsuz yanıt aldım. Bu durumdan dolayı memnuniyetsizim."
"Aldığım Terlik İlk Kullanımda Koptu, İade Kabul Edilmedi","Trendyol'dan Exxe Selection firmasından almış olduğum terlik, ilk kullanımda koptu. 1511,16 TL ödedim ve mağdur oldum. İade için gönderdim, ancak kabul edilmedi. Böyle bir sorumsuzluk olamaz. Trendyol'a yakışmadı. Sürekli alışveriş yapıyoruz, böyle bir durum yaşamak beni üzdü. İadenin kabul edilmemesi nedeniyle mağdur edildim."
Kargoda Kaybolan Çocuk Montumun Akıbetiyle İlgili Bilgi Alamıyorum,"Dolap uygulamasından marka ve değeri yüksek bir çocuk montu siparişim vardı. Ürünü karşı tarafa kargoladım fakat mont yerine bayan tayt gitmiş. Alıcı ve ben haklı olarak talep oluşturduk ve bu durumun ekipler tarafından bazen sık sık yaşandığını söylediler. Bize dönüş yapacaklarını bildirdiler, ancak 3 gün geçti ve hâlâ bir dönüş yok. Bilgi almak için ben aradığımda, sadece alıcıya bilgi verebileceklerini söylüyorlar. Ben mağdurum, kaç bin liralık montum kayıp ama bana bilgi verilmiyor. Çok saçma bir durumla karşı karşıyayım. Talebim üzerine bu durumu acil olarak çözmenizi bekliyorum. Montum nerede, başka birine gittiyse o neden iletişime geçmedi? Sizlerin de acil çözüme ulaşmanızı istiyorum. Hem dolap hem Trendyol şimdi bana 15 gün geçmiş sorun yok deniliyor. Bu ne saçmalık 15 gündür sürekli dolaba talep açmaktan ben yoruldum artık hep aynı mesajlar o zaman siz karşılayın benim iademi 133392372"
Kuponlar Son Güne Bırakılıp Kullanılamıyor!,"Elit olduğumda tanımlayacak oldukları kuponları bitiş tarihine 2,3 gün kala tanımlayıp son gün de kullandırmıyorlar. Öğleden önce gördüğüm kuponumu öğleden sonra göremedim. Resmen kullanmamam için tüm çabayı sarf ettiler. Bu hale ne ara geldiler anlamadım."
Ürün Fiyatında İnternet İle Sipariş Arasında Tutarsızlık,"Merhaba, ürün internet üzerinde 2.485 TL olarak görünüyor; ancak sipariş vermek istediğimizde fiyat 3.050 TL'ye çıkıyor. Bu nedenle güven sorunu yaşıyoruz. Soru sorduğumuzda ürünün fiyatının 3.050 TL olduğunu söylüyorlar, fakat resimde de görüldüğü gibi farklı bir fiyat belirtilmiş."
"İptal Edilen Siparişimde Mağdur Edildim, Çözüm Sunulmadı","Trendyol üzerinden bir sipariş oluşturdum. Siparişim uzun bir süre gelmedi ve kargoda iptal edildi. İptal edildikten sonra benden tekrar sipariş oluşturmam istendi, fakat sipariş oluşturmak istediğimde fiyatının arttığını ve kargo ücretsiz fırsatının sona erdiğini gördüm. Aldığım fiyattan tekrar yararlanamıyorum. Mağduriyetimi anlattığımda ise hiçbir şekilde bana yardımcı olmadılar. Her durumda ben mağdur oldum. Trendyol gibi büyük bir firma olarak bir çözüm bulamıyor musunuz? Mağdur eden sizsiniz ama asla çözüme yaklaşmıyorsunuz. Hani nerede müşteri memnuniyeti? Yazık."
Siparişimin Kargoya Verilmemesi Ve Satıcı İletişimsizliği,"Trendyol'un bir satıcısından (Shoebellas) sandalet siparişi verdim, 6 Temmuz'da ve şu an 15 Temmuz, hâlâ ürün hazırlanıyor diyor, kargoya verilmedi. Bu, başıma ilk defa geliyor. Satıcıya yazdım ve 24 saat içinde dönüş verdiği söyleniyor fakat satıcı benimle iletişime geçmiyor."
Trendyol Siparişimde Yanlış Numara Sorunu Çözülmüyor,"Trendyol'dan sipariş bekliyorum. Fizik tedavim olduğu için 'Kapıma Bırak' butonuna basıyorum, kod gönderiyorlar ama benim numaram değil. Halbuki hesabım sayfasındaki numaram doğru. Bir haftadır asistanla veya telefonla görüşüyorum, halledemiyorlar. Yalnız yaşıyorum, ne yapacağımı şaşırdım. Bugün sistemi silip tekrar girdim, değişen bir şey yok. İmdat!"
15 Gündür Teslim Edilmeyen Ocak Ve İade Sorunu,"Trendyol'dan 5 Temmuz'da ankastre ocak aldım. Bugün ayın 15'i, ne kargom ortada ne de param iade edildi. Üstelik bu ikinci siparişim; ilkini taşımada hasar aldığı için alamamıştım. 1 Temmuz'dan beri Trendyol'dan hiçbir şekilde ocağı alamadım. 15 gündür mağdurum. Her aradığımda bir bahane sunuluyor. Kesinlikle sorunum çözülmüyor."
"Trendyol Plus Ücreti İzinsiz Kesildi, Para İadesi Yapılmıyor","Trendyol üzerinden yaptığım alışverişin sepetine kendi satmış olduğu Trendyol Plus diye adlandırdığı ne işe yaradığı bilinmeyen bir sisteme 55TL ücret izinsiz kesmesi beni kızdırdı. Ürünleri sepete ekliyorsunuz satın aldıktan sonra sepetin içerisine Trendyol Plus ekleyerek size zorla almanızı sağlıyorlar. Hemen müşteri hizmetlerini arayarak iptalini oluşturdum ve para iadesi talep ettim, tabii ki iptalini oluştururuz ama para iadesi yapamıyoruz dediler. Paramın iadesini istiyorum."
Siparişim Başka Birine Teslim Edildi Destek Yetersiz Kaldı,Trendyol expressle gelen siparişim evde olmama rağmen başka birisine teslim edildi. Destek talebinde bulundum ancak 24 saat bekleyin gibi saçma bir karşılık aldım. Urunu aynı sitede oturduğumuz başka bir apartmandaki daireye isim söylemeden teslim etmişler. Allah'tan aynı sitede olduğumuz için yöneticiyle iletişime geçerek ürünü bulabildik.
Trendyol Ve Lojistik Firmasının İade Sürecindeki İlgisizliği Ve Müşteri Mağduriyeti,"Trendyol üzerinden satın alıp 2 Temmuz 2025 tarihinde teslim edilen ürün için, ürün özelliklerinde açıklanmayan olumsuzluklar nedeniyle aynı gün iade kodu oluşturdum. Lojistik firması, adresten teslim alması gereken ürünü 7 iş günü içinde almadı. İkinci kez iade kodu oluşturmuş durumdayım ve lojistik firması hiçbir şekilde temas kurmadığı için ikinci iade kodunun süresi de risk altında. Lojistik firması için gerekli şikayet ve taleplerde zaten bulunmuş durumdayım. Ancak Trendyol'un ""Konu bizi ilgilendirmez"" diyerek, yalnızca lojistik firmasının telefon numarasını paylaşmak dışında hiçbir girişimde bulunmaması kabul edilemez bir tutum. E-ticaret endüstrisinde decacorn seviyeye gelmiş kurumsal bir şirketin, e-ticarette güvenli ve temiz alışveriş güvencesini zedeleyen ilgisiz ve sorumsuz bir politika izlemesi ve ayrıca yapay zekadan oluşan müşteri temsilcilerini canlı destek olarak tanımlayıp, alışveriş sonrası yaşanan sorunların çözümüne uzak kalması, asgari e-ticaret eğitimlerinde bile eleştirilen bir yaklaşımdır. Sorunun çözümü için bilgi ve gereğini arz ederim."
Kurt Oyuncak İade Reddi Sorunu,"Trendyol ""Kurt Oyuncak"" tan ""Toys Home Labubu Have a Seat, Sevimli Canavarlar"" adlı oyuncağı 3 Temmuz 2025 tarihinde sipariş ettik. Siparişimiz elimize ulaştığında bizim seçmediğimiz rengi gönderdiklerini gördük. Ve hemen ürünle birlikte hem sitenin yönlendirmesiyle hem de iade koduyla birlikte iadesini oluşturduk ve kargoyla geri yolladık. Ürüne herhangi bir zarar vermememize rağmen ürünün iadesi 12 Temmuz 2025 tarihinde reddedildi olarak bildirildi. Sebep de ""hijyen""miş. 872.24 liraya aldığımız ürün hangi ""hijyen"" kurallarına göre reddediliyor acaba öğrenebilir miyim? Bu ne insan parası yeme ve insan aldatmacası anlayamıyorum. İç çamaşırı mı bu iade reddediliyor? Siz o kadar para kazanıyorken bizim paramıza neden göz koydunuz? Madem iade edilen her ürünü reddedip geri yollayacaksınız neden bize iade oluşturma şansı veriyorsunuz, iade kodu veriyorsunuz söyler misiniz? Mağduriyetimizin derhal giderilmesini rica ediyorum. Giderilmediği takdirde paranın azlığına çokluğunu bakmayıp Tüketici Hakları'na şikayetimi sunacağım. Çocuğumuz iki gündür sizin yüzünüzden ağlamaktan helak oldu. Ne hakkınız var çocuğuma bunu yaşatmaya? Yazık değil mi bu insanlara? Bir şey satacaksanız eğer şeffaf olun. İade kodu verip de hepsini reddetmek nedir? Hem çocuğumun hem de benim mağduriyetimizin giderilmesini talep ediyorum. Aksi takdirde Tüketici Hakları'na başvuracağımı bilin."
